0.002, 0.011, 1.036, -26.000, -21.000, 10.000
0.127, 0.009, 1.035, -25.000, -19.000, 9.000
0.002, 0.012, 1.037, -28.000, -20.000, 10.000
0.000, 0.010, 1.036, -25.000, -18.000, 12.000
0.003, 0.009, 1.032, -25.000, -20.000, 10.000
0.000, 0.009, 1.032, -26.000, -18.000, 8.000
0.005, 0.011, 1.036, -23.000, -20.000, 10.000
0.001, 0.014, 1.036, -27.000, -20.000, 9.000
0.009, 0.008, 1.036, -25.000, -20.000, 9.000
0.005, 0.009, 1.035, -24.000, -20.000, 8.000
0.000, 0.004, 1.035, -25.000, -19.000, 8.000
0.004, 0.013, 1.036, -27.000, -19.000, 9.000
0.001, 0.014, 1.037, -27.000, -19.000, 7.000
0.126, 0.008, 1.033, -26.000, -20.000, 10.000
0.127, 0.014, 1.036, -23.000, -19.000, 9.000
0.002, 0.009, 1.037, -23.000, -18.000, 11.000
0.007, 0.009, 1.036, -25.000, -20.000, 8.000
0.002, 0.009, 1.031, -27.000, -20.000, 10.000
0.003, 0.012, 1.037, -24.000, -20.000, 9.000
0.004, 0.007, 1.034, -28.000, -21.000, 6.000
0.005, 0.011, 1.031, -27.000, -21.000, 6.000
0.126, 0.007, 1.035, -26.000, -19.000, 11.000
0.002, 0.010, 1.030, -27.000, -20.000, 9.000
-0.125, 0.007, 1.039, -26.000, -21.000, 8.000
0.001, 0.007, 1.035, -29.000, -19.000, 5.000
0.126, 0.014, 1.035, -28.000, -20.000, 10.000
0.004, 0.008, 1.031, -26.000, -20.000, 9.000
0.001, 0.012, 1.029, -26.000, -19.000, 8.000
0.127, 0.009, 1.037, -26.000, -20.000, 11.000
0.004, 0.008, 1.034, -26.000, -20.000, 10.000
0.002, 0.008, 1.039, -28.000, -19.000, 9.000
-0.126, 0.005, 1.033, -27.000, -20.000, 10.000
0.003, 0.009, 1.033, -24.000, -20.000, 8.000
0.007, 0.013, 1.029, -24.000, -21.000, 10.000
0.005, 0.011, 1.035, -26.000, -20.000, 9.000
0.004, 0.010, 1.034, -25.000, -20.000, 12.000
0.126, 0.011, 1.033, -29.000, -21.000, 11.000
0.002, 0.013, 1.036, -26.000, -19.000, 11.000
0.004, 0.008, 1.033, -26.000, -20.000, 12.000
0.000, 0.005, 1.038, -27.000, -19.000, 9.000
0.002, 0.013, 1.033, -25.000, -19.000, 11.000
0.001, 0.012, 1.036, -28.000, -20.000, 10.000
0.002, 0.011, 1.031, -27.000, -20.000, 11.000
0.003, 0.010, 1.032, -24.000, -20.000, 9.000
0.003, 0.012, 1.035, -26.000, -20.000, 9.000
0.002, 0.007, 1.033, -25.000, -19.000, 11.000
